episode,start_hst,end_hst,fountaining_duration_hr,max_fountain_ft,fountain_vent,pause_before_days,deflation_during_urad_UWD,inflation_before_urad_UWD,precursors,notes
24,2025-06-04 21:00,2025-06-05 04:28,7.5,980,north,10.0,,,"sporadic spatter + gas pistoning from Jun 3 (~1.5 d ahead) building into low dome fountains","plume to 16500 ft AGL"
25,2025-06-11 11:57,2025-06-11 20:08,8.2,1000,north,6.3,,,"glow + spattering Jun 10 flagged by HVO as precursory","end = deflation-to-inflation flip + tremor drop"
26,2025-06-20 01:40,2025-06-20 10:25,8.75,1250,north,8.2,,~11.5 recovered by Jun 17,"night glow / low-level activity","record fountain height at the time; window Jun 18-20 hit on last day"
27,2025-06-29 08:03,2025-06-29 19:54,~11,1000+,north,9.0,,,"precursory phase from Jun 28 morning: intermittent north-vent overflows; glow prior nights; minor spatter Jun 26-27","5.9M m3; plume 20000 ft; forecast accurate"
28,2025-07-09 04:10,2025-07-09 13:20,9 (8 high),1200,north (fan-shaped),9.3,,,"several days of gas-piston cycles; small north-vent overflows Jul 8","south vent buried by deposits; ash-fall advisories"
29,2025-07-20 03:55,2025-07-20 18:35,>13,330,north,10.7,,,"spattering -> dome fountains -> overflows over ~80 min","forecast Jul 17-19 missed by 1-2 days (clearest miss of era)"
30,2025-08-06 01:20,2025-08-06 12:55,~12,165-230,north + NEW FISSURE on south wall,16.3,,,"gas pistoning from 5:14 a.m. Aug 4; short flows from Aug 4","ANOMALY: shallow dike opened new fissure; precursory south-rim quakes/deformation"
31,2025-08-22 14:04,2025-08-23 02:52,12.6,~1000 lateral (45-deg inclined),north,16.1,~22,~22,"continuous spatter from 8:30 a.m.; precursory overflows from 11:45 a.m.","ANOMALY: inclined sideways fountains; 10.9M cu yd"
32,2025-09-02 06:35,2025-09-02 20:01,13.4,500,north (3 vents active),10.2,,,"spattering from Aug 31 evening; cyclic vigorous overflows 2:48-4:25 a.m. (6-17 min each)",">12.5M cu yd - highest short-episode output to then"
33,2025-09-19 03:11,2025-09-19 12:08,~9,800 at onset then 300-400,north (south minor),16.3,,,"days of gas pistoning + sporadic spatter from ~Sep 16; >=104 overflows","ANOMALY: near-max height instantly at onset; volnado vortices"
34,2025-10-01 00:53,2025-10-01 07:03,~6,1300,south (vertical) + inclined north,11.5,,,">120 gas-piston events with 10-ft spatter fountains + numerous short overflows Sep 28-30","dual fountains return; abrupt halt; ~8.9M cu yd"
35,2025-10-17 20:05,2025-10-18 03:32,7.5,1500 south + 1100 north (RECORD pair),south+north,16.5,,,"seven overflow-drainback events from south vent Oct 16; strong glow both vents","record single fountain to then; tephra on Hwy 11; ~13M cu yd"
36,2025-11-09 11:15,2025-11-09 16:16,<5,1150,north (south ~1/3),22.3,,,"RECORD precursory phase: 179-180+ overflow-drainback events alternating vents over ~6 days","slow inflation forced window extension; ~11M cu yd at >600 cu yd/s"
37,2025-11-25 14:30,2025-11-25 23:39,9.2,500-600,north (south weak spatter/flames),15.9,,,"roiling both vents Nov 21; 73 overflows Nov 21-23; then overflows STOPPED + brief summit deflation Nov 24 (stall)","ANOMALY: precursory stall-then-go; window shifted to Nov 25-28; ~75% crater floor covered"
38,2025-12-06 08:45,2025-12-06 20:52,12.1,1260 (RECORD lateral throw 1970 ft),south (inclined) + triple onset,10.4,33.1,,"degassed north-vent overflows from Dec 5 afternoon; ~5 h continuous precursory overflow with 20-30 ft fountains","ANOMALY: rare triple fountain; south vent exploded ~10 a.m.; destroyed V3 webcam; largest volume 12.1M m3"
39,2025-12-23 20:20,2025-12-24 02:13,5.9,1400 south + 900 north,dual,17.0,26.8,31.6,"intermittent south-vent glow with tremor spikes = gas pistoning; rapid tilt rebound after ep 38","onset on exact 1-yr anniversary; ~12M cu yd"
40,2026-01-12 08:22,2026-01-12 18:04,9.7,800,north (south intermittent spatter),19.3,,,"precursory overflows from SOUTH vent began Jan 8 (~4-day precursory phase)","onset = strong deflation + tremor increase; peak ~460 cu yd/s"
41,2026-01-24 11:10,2026-01-24 19:28,8.3,1475+,both,12.0,~31 (5.7 in first hour),,"days of tremor spikes every 5-10 min (gas pistoning); precursory overflows from 3:52 a.m.","window Jan 23-25 hit dead center"
42,2026-02-15 13:50,2026-02-15 23:38,9.8,1300 south + 1000 north,dual,22.0,33.7,28.6 by Feb 14,"precursory from Feb 14 1:05 p.m.: >10 overflows + in-vent spattering over ~25 h","run-up STALLED by deflation Feb 9-10 + flat tilt Feb 12-14; window pushed back repeatedly; 11.4M m3"
43,2026-03-10 09:17,2026-03-10 18:21,9.1,1770 (ERUPTION RECORD),south + north,23.0,~33.7 (may be conflated w/ 42),30.0 by Mar 9,"very short lead: overflows 8:20 a.m. fountaining ~1 h later","peak effusion ~800 m3/s; 12M m3; tephra to communities 50 mi away"
44,2026-04-09 11:10,2026-04-09 19:41,8.5,800,north ONLY (south never fountained again),30.0 (LONGEST PAUSE),17.6,25.4,"ANOMALY: ~75 sluggish overflows mostly from SOUTH vent over 6 days - longest precursory phase","Kona-low storms contaminated tilt data adding forecast uncertainty; 5.8M m3"
45,2026-04-23 01:34,2026-04-23 10:01,8.5,870 (USGS; ~1000 media),north,14.0,16.0,14.9 by Apr 20,"overflows from 7:46 p.m. Apr 20 (ADVISORY->WATCH); intermittent both-vent overflows ~55 h before onset",
46,2026-05-05 08:17,2026-05-05 17:22,9.1,650,north (south gas jetting + flames only),12.0,~14,,"overflows from 1:38 a.m. May 4 (~31 h before onset); spatter and glow through window","peak ~240 m3/s; 4.6M m3; tephra to Hwy 11"
47,2026-05-14 15:27,2026-05-15 00:27,9.0,650,north (south sporadic spatter),9.0,15.6,,"WATCH raised May 13 on tilt + seismic-velocity data BEFORE any lava visible; cyclical south-vent overflows morning of May 14","ash plume 20000 ft; seismic-velocity methods added to forecasting"
48,2026-06-01 04:40,2026-06-01 13:37,9.0,650,north,17.0,17.1,,"ANOMALOUS run-up: sharp ~1 urad deflation May 25 with NO precursors (failed run-up) delayed episode ~1 wk; then 29 gas-piston overflows from south vent May 30-Jun 1 (~35 h precursory)","RECORD: 48th episode passed Puuoo 1983-86 count; plume 24000 ft; 7.3M cu yd"
49,2026-06-14 09:36,2026-06-14 17:05,7.5,690,north only,13.0,15.5,16.8,"short lead: low dome fountains 10-15 ft feeding short flow from 4:10 a.m.; fountaining ~5.4 h later","plume 18000 ft"
50,2026-06-27 10:10,2026-06-27 17:10,7.0,1030,north,13.0,15.3,~16,"ANOMALOUS initiator: SOUTH vent spatter bursts + gas jetting + tremor spikes from 7:22 p.m. Jun 24 (north initiates ~90% of time); large flames Jun 24; first <50-ft north overflows 8:50 a.m. Jun 26; fountaining ~25 h later","tallest since ep 43; plume 18000 ft; Pele's hair in Pahala; window Jun 25-27 hit on last day"
